Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,138,PLA,none,21.52468294811818,10.0,2.5,1.0696100320277093,0.5,1.604415048041564
Lattice,139,PLA,dense elastomer,42.863815557784186,10.0,2.5,0.9638303007450946,0.5,1.445745451117642
Lattice,140,PLA,foamed elastomer,42.863815557784186,10.0,2.5,0.9638303007450946,0.5,1.445745451117642
Lattice,141,PLA,none,42.863815557784186,10.0,2.5,0.9638303007450946,0.5,1.445745451117642
Lattice,142,PLA,dense elastomer,39.06501736082273,10.0,2.5,0.9742247840000012,0.5,1.4613371760000018
Lattice,143,PLA,foamed elastomer,39.06501736082273,10.0,2.5,0.9742247840000012,0.5,1.4613371760000018
Lattice,144,PLA,none,39.06501736082273,10.0,2.5,0.9742247840000012,0.5,1.4613371760000018
Lattice,145,PLA,dense elastomer,31.965620316672485,10.0,2.5,0.5041137670464497,0.5,0.7561706505696746
Lattice,146,PLA,foamed elastomer,31.965620316672485,10.0,2.5,0.5041137670464497,0.5,0.7561706505696746
Lattice,147,PLA,none,31.965620316672485,10.0,2.5,0.5041137670464497,0.5,0.7561706505696746
Lattice,148,PLA,dense elastomer,34.489754761772296,10.0,2.5,1.1176428643702843,0.5,1.6764642965554264
Lattice,149,PLA,foamed elastomer,34.489754761772296,10.0,2.5,1.1176428643702843,0.5,1.6764642965554264
Lattice,150,PLA,none,34.489754761772296,10.0,2.5,1.1176428643702843,0.5,1.6764642965554264
Lattice,151,PLA,dense elastomer,47.43093075278964,10.0,2.5,0.7175498289110384,0.5,1.0763247433665575
Lattice,152,PLA,foamed elastomer,47.43093075278964,10.0,2.5,0.7175498289110384,0.5,1.0763247433665575
Lattice,153,PLA,none,47.43093075278964,10.0,2.5,0.7175498289110384,0.5,1.0763247433665575
Lattice,154,PLA,dense elastomer,36.13016485233797,10.0,2.5,0.6731003007544143,0.5,1.0096504511316216
Lattice,155,PLA,foamed elastomer,36.13016485233797,10.0,2.5,0.6731003007544143,0.5,1.0096504511316216
Lattice,156,PLA,none,36.13016485233797,10.0,2.5,0.6731003007544143,0.5,1.0096504511316216
Lattice,157,PLA,dense elastomer,29.269109347082882,10.0,2.5,0.31921124023023895,0.5,0.4788168603453584
Lattice,158,PLA,foamed elastomer,29.269109347082882,10.0,2.5,0.31921124023023895,0.5,0.4788168603453584
Lattice,159,PLA,none,29.269109347082882,10.0,2.5,0.31921124023023895,0.5,0.4788168603453584
Lattice,160,PLA,dense elastomer,27.631948031724498,10.0,2.5,0.886976366382878,0.5,1.330464549574317
Lattice,161,PLA,foamed elastomer,27.631948031724498,10.0,2.5,0.886976366382878,0.5,1.330464549574317
Lattice,162,PLA,none,27.631948031724498,10.0,2.5,0.886976366382878,0.5,1.330464549574317
Lattice,163,PLA,dense elastomer,19.423827286338167,10.0,2.5,1.2400155633859224,0.5,1.8600233450788837
