Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Inner radius [mm]
Chiral,197,PLA,foamed elastomer,39.92143711757508,10.0,2.5,1.0877213829480337,0.5,1.0877213829480337,1.199097193232852
Chiral,198,PLA,none,39.92143711757508,10.0,2.5,1.0877213829480337,0.5,1.0877213829480337,1.199097193232852
Chiral,199,PLA,dense elastomer,39.57810811395322,10.0,2.5,0.5332340875865289,0.5,0.5332340875865289,1.510292494839115
Chiral,200,PLA,foamed elastomer,39.57810811395322,10.0,2.5,0.5332340875865289,0.5,0.5332340875865289,1.510292494839115
Chiral,201,PLA,none,39.57810811395322,10.0,2.5,0.5332340875865289,0.5,0.5332340875865289,1.510292494839115
Chiral,202,PLA,dense elastomer,40.03118265381639,10.0,2.5,0.5550353377524301,0.5,0.5550353377524301,1.9861771167507798
Chiral,203,PLA,foamed elastomer,40.03118265381639,10.0,2.5,0.5550353377524301,0.5,0.5550353377524301,1.9861771167507798
Chiral,204,PLA,none,40.03118265381639,10.0,2.5,0.5550353377524301,0.5,0.5550353377524301,1.9861771167507798
Chiral,205,PLA,dense elastomer,17.804366164710906,10.0,2.5,0.5385420884770404,0.5,0.5385420884770404,1.6118051540373695
Chiral,206,PLA,foamed elastomer,17.804366164710906,10.0,2.5,0.5385420884770404,0.5,0.5385420884770404,1.6118051540373695
Chiral,207,PLA,none,17.804366164710906,10.0,2.5,0.5385420884770404,0.5,0.5385420884770404,1.6118051540373695
Chiral,208,PLA,dense elastomer,26.33353515546657,10.0,2.5,0.897227389386632,0.5,0.897227389386632,1.0343216802829094
Chiral,209,PLA,foamed elastomer,26.33353515546657,10.0,2.5,0.897227389386632,0.5,0.897227389386632,1.0343216802829094
Chiral,210,PLA,none,26.33353515546657,10.0,2.5,0.897227389386632,0.5,0.897227389386632,1.0343216802829094
Chiral,211,PLA,dense elastomer,32.060664664734595,10.0,2.5,1.1737601390382337,0.5,1.1737601390382337,1.0993115082819238
Chiral,212,PLA,foamed elastomer,32.060664664734595,10.0,2.5,1.1737601390382337,0.5,1.1737601390382337,1.0993115082819238
Chiral,213,PLA,none,32.060664664734595,10.0,2.5,1.1737601390382337,0.5,1.1737601390382337,1.0993115082819238
Chiral,214,PLA,dense elastomer,42.088513974580486,10.0,2.5,0.4087315545841494,0.5,0.4087315545841494,1.881553054013915
Chiral,215,PLA,foamed elastomer,42.088513974580486,10.0,2.5,0.4087315545841494,0.5,0.4087315545841494,1.881553054013915
Chiral,216,PLA,none,42.088513974580486,10.0,2.5,0.4087315545841494,0.5,0.4087315545841494,1.881553054013915
Chiral,217,PLA,dense elastomer,35.113986516713155,10.0,2.5,0.9408241906184598,0.5,0.9408241906184598,1.7562848956345891
Chiral,218,PLA,foamed elastomer,35.113986516713155,10.0,2.5,0.9408241906184598,0.5,0.9408241906184598,1.7562848956345891
Chiral,219,PLA,none,35.113986516713155,10.0,2.5,0.9408241906184598,0.5,0.9408241906184598,1.7562848956345891
Chiral,220,PLA,dense elastomer,29.94733986545597,10.0,2.5,1.004439692136997,0.5,1.004439692136997,1.7434711705875632
Chiral,221,PLA,foamed elastomer,29.94733986545597,10.0,2.5,1.004439692136997,0.5,1.004439692136997,1.7434711705875632
Chiral,222,PLA,none,29.94733986545597,10.0,2.5,1.004439692136997,0.5,1.004439692136997,1.7434711705875632
Chiral,223,PLA,dense elastomer,19.39020510770493,10.0,2.5,0.4651227922652704,0.5,0.4651227922652704,1.7450873547818615
Chiral,224,PLA,foamed elastomer,19.39020510770493,10.0,2.5,0.4651227922652704,0.5,0.4651227922652704,1.7450873547818615
Chiral,225,PLA,none,19.39020510770493,10.0,2.5,0.4651227922652704,0.5,0.4651227922652704,1.7450873547818615
Chiral,226,PLA,dense elastomer,25.801012589461003,10.0,2.5,0.40222296628511894,0.5,0.40222296628511894,1.615444591074531
Chiral,227,PLA,foamed elastomer,25.801012589461003,10.0,2.5,0.40222296628511894,0.5,0.40222296628511894,1.615444591074531
Chiral,228,PLA,none,25.801012589461003,10.0,2.5,0.40222296628511894,0.5,0.40222296628511894,1.615444591074531
Chiral,229,PLA,dense elastomer,12.878394643970932,10.0,2.5,0.37788582657391456,0.5,0.37788582657391456,1.0836548153792271
Chiral,230,PLA,foamed elastomer,12.878394643970932,10.0,2.5,0.37788582657391456,0.5,0.37788582657391456,1.0836548153792271
Chiral,231,PLA,none,12.878394643970932,10.0,2.5,0.37788582657391456,0.5,0.37788582657391456,1.0836548153792271
Chiral,232,PLA,dense elastomer,40.471402125459576,10.0,2.5,1.2295747844719727,0.5,1.2295747844719727,1.2404824258893659
Chiral,233,PLA,foamed elastomer,40.471402125459576,10.0,2.5,1.2295747844719727,0.5,1.2295747844719727,1.2404824258893659
Chiral,234,PLA,none,40.471402125459576,10.0,2.5,1.2295747844719727,0.5,1.2295747844719727,1.2404824258893659
Chiral,235,PLA,dense elastomer,46.05916792049871,10.0,2.5,0.6280076858121969,0.5,0.6280076858121969,1.465127692455317
Chiral,236,PLA,foamed elastomer,46.05916792049871,10.0,2.5,0.6280076858121969,0.5,0.6280076858121969,1.465127692455317
Chiral,237,PLA,none,46.05916792049871,10.0,2.5,0.6280076858121969,0.5,0.6280076858121969,1.465127692455317
Chiral,238,PLA,dense elastomer,17.156625215066637,10.0,2.5,0.42673886981409626,0.5,0.42673886981409626,1.651941233624754
Chiral,239,PLA,foamed elastomer,17.156625215066637,10.0,2.5,0.42673886981409626,0.5,0.42673886981409626,1.651941233624754
