Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,107,9.14E-06,7.468539957,0.225366548,165.0982117,-4.909950074,0.015005101,0.000688774,0.046241111,10.19214936,6.420397752,61.64925599,750.0001461
Re-entrant,108,7.71E-06,0.490129576,0.011877054,165.0616363,-6.365786983,0.000878882,1.97E-05,0.00309949,10.14449919,6.406005433,61.64925599,750.0001461
Re-entrant,109,2.09E-05,107.8170914,13.58144785,261.6350978,1.872734249,0.09740042,0.034898557,4.379006517,78.38413541,20.59774739,97.25650498,750.0000275
Re-entrant,110,2.80E-05,14.91359324,0.521282946,260.5858437,5.125992369,0.016531169,0.000726539,3.456102196,78.0481302,20.21652994,97.25650498,750.0000275
Re-entrant,111,2.80E-05,11.59110638,0.395476741,260.5439099,5.239287388,0.013342423,0.000456143,3.420760532,78.03529166,20.20195963,97.25650498,750.0000275
Re-entrant,112,1.68E-05,36.35759987,10.5049945,234.3941193,1.588272748,0.028159661,0.028682054,1.220804842,62.23349998,31.76659372,86.83938531,750.0001264
Re-entrant,113,2.33E-05,16.35191141,3.042323702,232.6919029,2.158624672,0.020883622,0.004022862,0.556659869,61.8988906,31.40314581,86.83938531,750.0001264
Re-entrant,114,2.47E-05,15.94088277,2.949745621,232.6473832,2.168540827,0.020559,0.00380225,0.528776798,61.88610936,31.38925779,86.83938531,750.0001264
Re-entrant,115,1.40E-06,59.86387401,110.5043962,254.0205784,-0.132182256,0.099061632,0.160245963,0.670877401,50.52603125,40.34967708,94.08906405,750.0000466
Re-entrant,116,3.20E-06,22.3122019,63.40957636,252.1259955,-0.350400544,0.026759008,0.075755249,0.178536797,50.13785416,39.98943228,94.08906405,750.0000466
Re-entrant,117,4.50E-06,21.88448901,62.63797807,252.0818071,-0.352604749,0.026045461,0.07454577,0.158348068,50.12301041,39.97566927,94.08906405,750.0000466
Re-entrant,118,1.35E-05,36.62404115,10.59912302,234.4079362,1.58485139,0.028590307,0.02880466,1.230226998,62.23073437,31.77821094,86.83929374,750.0000438
Re-entrant,119,8.88E-06,16.72537413,3.11761205,232.695006,2.152867822,0.021364109,0.004120605,0.56528718,61.89611458,31.41485416,86.83929374,750.0000438
Re-entrant,120,8.55E-06,16.32307956,3.026118931,232.6502876,2.162673073,0.021048634,0.003902082,0.537374434,61.8833333,31.40097135,86.83929374,750.0000438
Re-entrant,121,4.34E-05,52.47810925,108.7846329,253.8595653,-0.146168331,0.090943558,0.159840348,0.774261052,50.52502975,40.35508213,94.08906405,750.0000643
Re-entrant,122,4.58E-05,22.2406058,63.30774767,252.1327027,-0.350575395,0.026671108,0.075630281,0.351957073,50.14542558,39.99480349,94.08906405,750.0000643
Re-entrant,123,4.56E-05,21.91118288,62.66634846,252.0886232,-0.352544734,0.026073377,0.074573753,0.335752683,50.13091516,39.98104047,94.08906405,750.0000643
Re-entrant,124,1.25E-05,113.735858,34.34900554,335.5529848,-0.338693061,0.12644052,0.052357884,0.81503981,42.07127587,32.94893476,124.9025281,750.0002815
Re-entrant,125,1.12E-05,26.19589382,3.610388091,334.4728166,-2.309578756,0.023888332,0.003395236,0.189450016,41.43397897,32.55753105,124.9025281,750.0002815
Re-entrant,126,1.12E-05,24.28448079,3.306190373,334.4316586,-2.353421681,0.021781045,0.002964552,0.164747016,41.40947115,32.5425727,124.9025281,750.0002815
Re-entrant,127,1.94E-06,59.96948319,110.5433571,254.0235453,-0.131790872,0.099169749,0.160259786,0.675946611,50.52567708,40.34913281,94.08899705,750.0000151
Re-entrant,128,3.16E-06,22.31158698,63.40778984,252.1261869,-0.35040237,0.026754728,0.075748727,0.184740892,50.13742707,39.9888776,94.08899705,750.0000151
Re-entrant,129,3.21E-06,21.88307207,62.63566059,252.0821277,-0.352603715,0.026039203,0.07453702,0.164582974,50.1225729,39.97511458,94.08899705,750.0000151
Re-entrant,130,1.95E-05,113.6935642,34.28454139,335.596505,-0.339368385,0.126400486,0.052296047,0.812327545,42.05691843,32.94087694,124.9022311,750.0000214
Re-entrant,131,2.44E-05,25.82077524,3.542654491,334.5201708,-2.320654569,0.023547876,0.003333195,0.186649535,41.41967623,32.54948886,124.9022311,750.0000214
