Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,143,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,12.75,3.75
Re-entrant,144,PLA,none,30,10,2.5,1.25,0.05,1.25,12.75,3.75
Re-entrant,145,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,3.75,8.25
Re-entrant,146,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,3.75,8.25
Re-entrant,147,PLA,none,30,10,2.5,1.25,0.05,1.25,3.75,8.25
Re-entrant,148,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,8.25,8.25
Re-entrant,149,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,8.25,8.25
Re-entrant,150,PLA,none,30,10,2.5,1.25,0.05,1.25,8.25,8.25
Re-entrant,151,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,12.75,8.25
Re-entrant,152,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,12.75,8.25
Re-entrant,153,PLA,none,30,10,2.5,1.25,0.05,1.25,12.75,8.25
Re-entrant,154,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,3.75,12.75
Re-entrant,155,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,3.75,12.75
Re-entrant,156,PLA,none,30,10,2.5,1.25,0.05,1.25,3.75,12.75
Re-entrant,157,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,8.25,12.75
Re-entrant,158,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,8.25,12.75
Re-entrant,159,PLA,none,30,10,2.5,1.25,0.05,1.25,8.25,12.75
Re-entrant,160,PLA,dense elastomer,30,10,2.5,1.25,0.05,1.25,12.75,12.75
Re-entrant,161,PLA,foamed elastomer,30,10,2.5,1.25,0.05,1.25,12.75,12.75
Re-entrant,162,PLA,none,30,10,2.5,1.25,0.05,1.25,12.75,12.75
Re-entrant,163,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,6.25,6.25
Re-entrant,164,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,6.25,6.25
Re-entrant,165,PLA,none,50,10,2.5,0.25,0.05,0.25,6.25,6.25
Re-entrant,166,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,13.75,6.25
Re-entrant,167,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,13.75,6.25
Re-entrant,168,PLA,none,50,10,2.5,0.25,0.05,0.25,13.75,6.25
Re-entrant,169,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,21.25,6.25
Re-entrant,170,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,21.25,6.25
Re-entrant,171,PLA,none,50,10,2.5,0.25,0.05,0.25,21.25,6.25
Re-entrant,172,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,6.25,13.75
Re-entrant,173,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,6.25,13.75
Re-entrant,174,PLA,none,50,10,2.5,0.25,0.05,0.25,6.25,13.75
Re-entrant,175,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,13.75,13.75
Re-entrant,176,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,13.75,13.75
Re-entrant,177,PLA,none,50,10,2.5,0.25,0.05,0.25,13.75,13.75
Re-entrant,178,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,21.25,13.75
Re-entrant,179,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,21.25,13.75
Re-entrant,180,PLA,none,50,10,2.5,0.25,0.05,0.25,21.25,13.75
Re-entrant,181,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,6.25,21.25
Re-entrant,182,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,6.25,21.25
Re-entrant,183,PLA,none,50,10,2.5,0.25,0.05,0.25,6.25,21.25
Re-entrant,184,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,13.75,21.25
Re-entrant,185,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,13.75,21.25
Re-entrant,186,PLA,none,50,10,2.5,0.25,0.05,0.25,13.75,21.25
Re-entrant,187,PLA,dense elastomer,50,10,2.5,0.25,0.05,0.25,21.25,21.25
Re-entrant,188,PLA,foamed elastomer,50,10,2.5,0.25,0.05,0.25,21.25,21.25
Re-entrant,189,PLA,none,50,10,2.5,0.25,0.05,0.25,21.25,21.25
Re-entrant,190,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,6.25,6.25
Re-entrant,191,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,6.25,6.25
Re-entrant,192,PLA,none,50,10,2.5,0.75,0.05,0.75,6.25,6.25
Re-entrant,193,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,13.75,6.25
Re-entrant,194,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,13.75,6.25
Re-entrant,195,PLA,none,50,10,2.5,0.75,0.05,0.75,13.75,6.25
Re-entrant,196,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,21.25,6.25
Re-entrant,197,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,21.25,6.25
Re-entrant,198,PLA,none,50,10,2.5,0.75,0.05,0.75,21.25,6.25
Re-entrant,199,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,6.25,13.75
Re-entrant,200,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,6.25,13.75
Re-entrant,201,PLA,none,50,10,2.5,0.75,0.05,0.75,6.25,13.75
Re-entrant,202,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,13.75,13.75
Re-entrant,203,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,13.75,13.75
Re-entrant,204,PLA,none,50,10,2.5,0.75,0.05,0.75,13.75,13.75
Re-entrant,205,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,21.25,13.75
Re-entrant,206,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,21.25,13.75
Re-entrant,207,PLA,none,50,10,2.5,0.75,0.05,0.75,21.25,13.75
Re-entrant,208,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,6.25,21.25
Re-entrant,209,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,6.25,21.25
Re-entrant,210,PLA,none,50,10,2.5,0.75,0.05,0.75,6.25,21.25
Re-entrant,211,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,13.75,21.25
Re-entrant,212,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,13.75,21.25
Re-entrant,213,PLA,none,50,10,2.5,0.75,0.05,0.75,13.75,21.25
Re-entrant,214,PLA,dense elastomer,50,10,2.5,0.75,0.05,0.75,21.25,21.25
Re-entrant,215,PLA,foamed elastomer,50,10,2.5,0.75,0.05,0.75,21.25,21.25
